Giorno,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto,"Totale Bianche","Totale Gialle","Totale Arancioni","Totale Rosse",mappa
2021-05-01,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Rossa,Arancione,Gialla,Gialla,Arancione,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-04-26.png
2021-05-02,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Rossa,Arancione,Gialla,Gialla,Arancione,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-04-26.png
2021-05-03,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-04,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-05,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-06,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-07,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-08,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-09,Gialla,Arancione,Arancione,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Arancione,Gialla,Gialla,Rossa,Gialla,0,15,5,1,https://covid-19-zone.tsiotas.com/img/2021-05-03.png
2021-05-10,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Gialla,Arancione,Arancione,Gialla,Gialla,Arancione,Gialla,0,18,3,0,https://covid-19-zone.tsiotas.com/img/2021-05-10.png
